LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,Value
8,Albania,AL,ALB,1,1950,4,Median,3,Both sexes,"44,7355"
8,Albania,AL,ALB,2,1951,4,Median,3,Both sexes,"45,1396"
8,Albania,AL,ALB,3,1952,4,Median,3,Both sexes,"45,9788"
8,Albania,AL,ALB,4,1953,4,Median,3,Both sexes,"46,5442"
8,Albania,AL,ALB,5,1954,4,Median,3,Both sexes,"47,5946"
8,Albania,AL,ALB,6,1955,4,Median,3,Both sexes,"48,5424"
8,Albania,AL,ALB,7,1956,4,Median,3,Both sexes,"49,5758"
8,Albania,AL,ALB,8,1957,4,Median,3,Both sexes,"50,7065"
8,Albania,AL,ALB,9,1958,4,Median,3,Both sexes,"51,9755"
8,Albania,AL,ALB,10,1959,4,Median,3,Both sexes,"53,1985"
8,Albania,AL,ALB,11,1960,4,Median,3,Both sexes,"54,4389"
8,Albania,AL,ALB,12,1961,4,Median,3,Both sexes,"55,634"
8,Albania,AL,ALB,13,1962,4,Median,3,Both sexes,"56,6711"
8,Albania,AL,ALB,14,1963,4,Median,3,Both sexes,"57,8445"
8,Albania,AL,ALB,15,1964,4,Median,3,Both sexes,"58,9832"
8,Albania,AL,ALB,16,1965,4,Median,3,Both sexes,"60,0187"
8,Albania,AL,ALB,17,1966,4,Median,3,Both sexes,"60,9983"
8,Albania,AL,ALB,18,1967,4,Median,3,Both sexes,"61,9716"
8,Albania,AL,ALB,19,1968,4,Median,3,Both sexes,"62,9461"
8,Albania,AL,ALB,20,1969,4,Median,3,Both sexes,"63,9226"
8,Albania,AL,ALB,21,1970,4,Median,3,Both sexes,"64,8239"
8,Albania,AL,ALB,22,1971,4,Median,3,Both sexes,"65,6179"
8,Albania,AL,ALB,23,1972,4,Median,3,Both sexes,"66,4221"
8,Albania,AL,ALB,24,1973,4,Median,3,Both sexes,"67,1401"
8,Albania,AL,ALB,25,1974,4,Median,3,Both sexes,"67,7695"
8,Albania,AL,ALB,26,1975,4,Median,3,Both sexes,"68,3275"
8,Albania,AL,ALB,27,1976,4,Median,3,Both sexes,"68,7041"
8,Albania,AL,ALB,28,1977,4,Median,3,Both sexes,"69,1206"
8,Albania,AL,ALB,29,1978,4,Median,3,Both sexes,"69,3092"
8,Albania,AL,ALB,30,1979,4,Median,3,Both sexes,"69,5839"
8,Albania,AL,ALB,31,1980,4,Median,3,Both sexes,"70,478"
8,Albania,AL,ALB,32,1981,4,Median,3,Both sexes,"70,73"
8,Albania,AL,ALB,33,1982,4,Median,3,Both sexes,"71,0233"
8,Albania,AL,ALB,34,1983,4,Median,3,Both sexes,"71,2961"
8,Albania,AL,ALB,35,1984,4,Median,3,Both sexes,"71,5016"
8,Albania,AL,ALB,36,1985,4,Median,3,Both sexes,"71,656"
8,Albania,AL,ALB,37,1986,4,Median,3,Both sexes,"71,9496"
8,Albania,AL,ALB,38,1987,4,Median,3,Both sexes,"72,3517"
8,Albania,AL,ALB,39,1988,4,Median,3,Both sexes,"72,6408"
8,Albania,AL,ALB,40,1989,4,Median,3,Both sexes,"72,8797"
8,Albania,AL,ALB,41,1990,4,Median,3,Both sexes,"73,1439"
8,Albania,AL,ALB,42,1991,4,Median,3,Both sexes,"73,3776"
8,Albania,AL,ALB,43,1992,4,Median,3,Both sexes,"73,7148"
8,Albania,AL,ALB,44,1993,4,Median,3,Both sexes,"73,9391"
8,Albania,AL,ALB,45,1994,4,Median,3,Both sexes,"74,1313"
8,Albania,AL,ALB,46,1995,4,Median,3,Both sexes,"74,3616"
8,Albania,AL,ALB,47,1996,4,Median,3,Both sexes,"74,5923"
8,Albania,AL,ALB,48,1997,4,Median,3,Both sexes,"73,9039"
8,Albania,AL,ALB,49,1998,4,Median,3,Both sexes,"74,9899"
8,Albania,AL,ALB,50,1999,4,Median,3,Both sexes,"75,1828"
8,Albania,AL,ALB,51,2000,4,Median,3,Both sexes,"75,4043"
8,Albania,AL,ALB,52,2001,4,Median,3,Both sexes,"75,6388"
8,Albania,AL,ALB,53,2002,4,Median,3,Both sexes,"75,8899"
8,Albania,AL,ALB,54,2003,4,Median,3,Both sexes,"76,1421"
8,Albania,AL,ALB,55,2004,4,Median,3,Both sexes,"76,3761"
8,Albania,AL,ALB,56,2005,4,Median,3,Both sexes,"76,6208"
8,Albania,AL,ALB,57,2006,4,Median,3,Both sexes,"76,8162"
8,Albania,AL,ALB,58,2007,4,Median,3,Both sexes,"77,5491"
8,Albania,AL,ALB,59,2008,4,Median,3,Both sexes,"77,6529"
8,Albania,AL,ALB,60,2009,4,Median,3,Both sexes,"77,781"
8,Albania,AL,ALB,61,2010,4,Median,3,Both sexes,"77,9359"
8,Albania,AL,ALB,62,2011,4,Median,3,Both sexes,"78,0919"
8,Albania,AL,ALB,63,2012,4,Median,3,Both sexes,"78,064"
8,Albania,AL,ALB,64,2013,4,Median,3,Both sexes,"78,1226"
8,Albania,AL,ALB,65,2014,4,Median,3,Both sexes,"78,4075"
8,Albania,AL,ALB,66,2015,4,Median,3,Both sexes,"78,6441"
8,Albania,AL,ALB,67,2016,4,Median,3,Both sexes,"78,8602"
8,Albania,AL,ALB,68,2017,4,Median,3,Both sexes,"79,0473"
8,Albania,AL,ALB,69,2018,4,Median,3,Both sexes,"79,1838"
8,Albania,AL,ALB,70,2019,4,Median,3,Both sexes,"79,2825"
8,Albania,AL,ALB,71,2020,4,Median,3,Both sexes,"76,9893"
8,Albania,AL,ALB,72,2021,4,Median,3,Both sexes,"76,4626"
8,Albania,AL,ALB,73,2022,4,Median,3,Both sexes,"76,8334"
8,Albania,AL,ALB,74,2023,4,Median,3,Both sexes,"78,061"
20,Andorra,AD,AND,1,1950,4,Median,3,Both sexes,"64,5863"
